post_id,user_id,place_id,name,latitude,longitude,level,NOM,geo
7477,1776,16235,Bar-Terraza Ayre Rosellón,41.4048,2.17288,bar,la Sagrada Família,"41.4048,2.17288"
5045,490,17245,Bus Terrassa,41.4093,2.22221,bar,"el Besòs, el Maresme i Provençals

","41.4093,2.22221"
5221,490,17245,Bus Terrassa,41.4093,2.22221,bar,"el Besòs, el Maresme i Provençals

","41.4093,2.22221"
4206,73,14495,Barcelona Zoo,41.3862,2.18712,zoo,"Sant Pere, Santa Caterina i la Ribera
","41.3862,2.18712"
4207,73,14495,Barcelona Zoo,41.3862,2.18712,zoo,"Sant Pere, Santa Caterina i la Ribera
","41.3862,2.18712"
4208,73,14495,Barcelona Zoo,41.3862,2.18712,zoo,"Sant Pere, Santa Caterina i la Ribera
","41.3862,2.18712"
4209,73,14495,Barcelona Zoo,41.3862,2.18712,zoo,"Sant Pere, Santa Caterina i la Ribera
","41.3862,2.18712"
4210,73,14495,Barcelona Zoo,41.3862,2.18712,zoo,"Sant Pere, Santa Caterina i la Ribera
","41.3862,2.18712"
4211,73,14495,Barcelona Zoo,41.3862,2.18712,zoo,"Sant Pere, Santa Caterina i la Ribera
","41.3862,2.18712"
5227,312,17940,Brunch & Cake,41.3883,2.1615,cafe,"l'Antiga Esquerra de l'Eixample
","41.3883,2.1615"
7487,312,25108,La Cala Barceloneta,41.3759,2.18771,cafe,la Barceloneta,"41.3759,2.18771"
1076,54,3260,"KINO, Barcelona, Spain",41.3826,2.16659,cafe,"el Raval
","41.3826,2.16659"
4367,54,15092,El Flako Corn Flakes & Co.,41.3829,2.18175,cafe,"Sant Pere, Santa Caterina i la Ribera
","41.3829,2.18175"
4368,54,15093,El Flako Corn Flakes & Co.,41.3829,2.18175,cafe,"Sant Pere, Santa Caterina i la Ribera
","41.3829,2.18175"
4369,54,15094,El Flako Corn Flakes & Co.,41.3829,2.18175,cafe,"Sant Pere, Santa Caterina i la Ribera
","41.3829,2.18175"
7913,2035,26469,Sweet Lima,41.3864,2.18298,cafe,"Sant Pere, Santa Caterina i la Ribera
","41.3864,2.18298"
5741,85,19489,Bopan Forners Artesans,41.3945,2.15836,cafe,"la Dreta de l'Eixample
","41.3945,2.15836"
1532,54,5239,"Pg. de Gràcia, 92, 08008 Barcelona, Spain",41.3952,2.16171,cafe,"la Dreta de l'Eixample
","41.3952,2.16171"
6902,34,5239,"Pg. de Gràcia, 92, 08008 Barcelona, Spain",41.3952,2.16171,cafe,"la Dreta de l'Eixample
","41.3952,2.16171"
7488,312,25113,Jardins de Laribal,41.3688,2.15945,park,"el Poble Sec i Montjuïc

","41.3688,2.15945"
5035,490,17225,Ciutadella Park,41.3881,2.18602,park,"Sant Pere, Santa Caterina i la Ribera
","41.3881,2.18602"
6970,150,17225,Ciutadella Park,41.3881,2.18602,park,"Sant Pere, Santa Caterina i la Ribera
","41.3881,2.18602"
7722,1211,17225,Ciutadella Park,41.3881,2.18602,park,"Sant Pere, Santa Caterina i la Ribera
","41.3881,2.18602"
7723,1211,17225,Ciutadella Park,41.3881,2.18602,park,"Sant Pere, Santa Caterina i la Ribera
","41.3881,2.18602"
7731,1211,17225,Ciutadella Park,41.3881,2.18602,park,"Sant Pere, Santa Caterina i la Ribera
","41.3881,2.18602"
